Tue 24 Jan 17:05:01 EST 2023 | Running podcast_update.sh
Tue 24 Jan 17:05:01 EST 2023 | Run Complete.
Tue 21 Feb 15:30:01 EST 2023 | Running podcast_update.sh
Tue 21 Feb 15:30:01 EST 2023 | Run Complete.
Tue 21 Feb 16:30:01 EST 2023 | Running podcast_update.sh
Tue 21 Feb 16:30:01 EST 2023 | Run Complete.
Tue 21 Feb 17:30:01 EST 2023 | Running podcast_update.sh
Tue 21 Feb 17:30:01 EST 2023 | Run Complete.
Tue 21 Feb 18:30:01 EST 2023 | Running podcast_update.sh
Tue 21 Feb 18:30:01 EST 2023 | Run Complete.
Tue 21 Feb 19:30:01 EST 2023 | Running podcast_update.sh
Tue 21 Feb 19:30:01 EST 2023 | Run Complete.
Tue 21 Feb 20:30:01 EST 2023 | Running podcast_update.sh
Tue 21 Feb 20:30:01 EST 2023 | Run Complete.
Wed 22 Feb 15:30:01 EST 2023 | Running podcast_update.sh
Wed 22 Feb 15:30:01 EST 2023 | Run Complete.
Wed 22 Feb 16:30:01 EST 2023 | Running podcast_update.sh
Wed 22 Feb 16:30:01 EST 2023 | Run Complete.
Wed 22 Feb 17:30:01 EST 2023 | Running podcast_update.sh
Wed 22 Feb 17:30:01 EST 2023 | Run Complete.
Wed 22 Feb 18:30:01 EST 2023 | Running podcast_update.sh
Wed 22 Feb 18:30:01 EST 2023 | Run Complete.
Wed 22 Feb 19:30:01 EST 2023 | Running podcast_update.sh
Wed 22 Feb 19:30:01 EST 2023 | Run Complete.
Wed 22 Feb 20:30:01 EST 2023 | Running podcast_update.sh
Wed 22 Feb 20:30:01 EST 2023 | Run Complete.
Thu 23 Feb 15:30:01 EST 2023 | Running podcast_update.sh
Thu 23 Feb 15:30:01 EST 2023 | Run Complete.
Thu 23 Feb 16:30:01 EST 2023 | Running podcast_update.sh
Thu 23 Feb 16:30:01 EST 2023 | Run Complete.
Thu 23 Feb 17:30:01 EST 2023 | Running podcast_update.sh
Thu 23 Feb 17:30:01 EST 2023 | Run Complete.
Thu 23 Feb 18:30:01 EST 2023 | Running podcast_update.sh
Thu 23 Feb 18:30:01 EST 2023 | Run Complete.
Thu 23 Feb 19:30:01 EST 2023 | Running podcast_update.sh
Thu 23 Feb 19:30:01 EST 2023 | Run Complete.
Thu 23 Feb 20:30:01 EST 2023 | Running podcast_update.sh
Thu 23 Feb 20:30:01 EST 2023 | Run Complete.
Mon 27 Feb 15:30:01 EST 2023 | Running podcast_update.sh
Mon 27 Feb 15:30:01 EST 2023 | Run Complete.
Mon 27 Feb 16:30:01 EST 2023 | Running podcast_update.sh
Mon 27 Feb 16:30:01 EST 2023 | Run Complete.
Mon 27 Feb 17:30:01 EST 2023 | Running podcast_update.sh
Mon 27 Feb 17:30:01 EST 2023 | Run Complete.
Mon 27 Feb 18:30:01 EST 2023 | Running podcast_update.sh
Mon 27 Feb 18:30:01 EST 2023 | Run Complete.
Mon 27 Feb 19:30:01 EST 2023 | Running podcast_update.sh
Mon 27 Feb 19:30:01 EST 2023 | Run Complete.
Mon 27 Feb 20:30:01 EST 2023 | Running podcast_update.sh
Mon 27 Feb 20:30:01 EST 2023 | Run Complete.
Tue 28 Feb 15:30:01 EST 2023 | Running podcast_update.sh
Tue 28 Feb 15:30:01 EST 2023 | Run Complete.
Tue 28 Feb 16:30:01 EST 2023 | Running podcast_update.sh
Tue 28 Feb 16:30:01 EST 2023 | Run Complete.
Tue 28 Feb 17:30:02 EST 2023 | Running podcast_update.sh
Tue 28 Feb 17:30:02 EST 2023 | Run Complete.
Tue 28 Feb 18:30:01 EST 2023 | Running podcast_update.sh
Tue 28 Feb 18:30:01 EST 2023 | Run Complete.
Tue 28 Feb 19:30:01 EST 2023 | Running podcast_update.sh
Tue 28 Feb 19:30:01 EST 2023 | Run Complete.
Tue 28 Feb 20:30:01 EST 2023 | Running podcast_update.sh
Tue 28 Feb 20:30:01 EST 2023 | Run Complete.
Wed  1 Mar 15:30:01 EST 2023 | Running podcast_update.sh
Wed  1 Mar 15:30:01 EST 2023 | Run Complete.
Wed  1 Mar 16:30:01 EST 2023 | Running podcast_update.sh
Wed  1 Mar 16:30:01 EST 2023 | Run Complete.
Wed  1 Mar 17:30:01 EST 2023 | Running podcast_update.sh
Wed  1 Mar 17:30:01 EST 2023 | Run Complete.
Wed  1 Mar 18:30:01 EST 2023 | Running podcast_update.sh
